OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/gto_p60c239.cnf,	Maximum resident set size (kbytes): 2211564,	Elapsed (wall clock) time (h:mm:ss or m:ss): 11:13.19,0,0,1984672	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:13.41,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/gto_p60c241.cnf,	Maximum resident set size (kbytes): 1226472,	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:30.20,0,0,1223240	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:41.21,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/gto_p60c243.cnf,	Maximum resident set size (kbytes): 4443064,	Elapsed (wall clock) time (h:mm:ss or m:ss): 28:17.86,0,0,3689440	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:11.23,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/huck.col.11.cnf,	Maximum resident set size (kbytes): 953472,	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:06.61,0,0,257460	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:14.62,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/mchess_15.cnf,	Maximum resident set size (kbytes): 1291996,	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:49.52,0,0,208812	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:11.16,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/mchess_16.cnf,	Maximum resident set size (kbytes): 7042164,	Elapsed (wall clock) time (h:mm:ss or m:ss): 49:47.23,0,0,1290492	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:04.58,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/Nb27T6.cnf,	Maximum resident set size (kbytes): 3223428,	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:51:27,0,0,1122980	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:46.31,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/Nb29T6.cnf,	Maximum resident set size (kbytes): 1892492,	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:03:04,0,0,512372	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:20.61,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/Nb37T6.cnf,	Maximum resident set size (kbytes): 1956780,	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:07:20,0,0,535736	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:21.98,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/Nb39T6.cnf,	Maximum resident set size (kbytes): 2612232,	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:24:24,0,0,677868	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:28.49,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/Nb42T6.cnf,	Maximum resident set size (kbytes): 2454840,	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:56:01,0,0,629000	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:25.45,0,0,0,0,0,0,0,0
